[2025-02-10 13:54:54] ,2,61.933,476.496,8.707,65.211,496.12,-135,

[2025-02-10 13:55:07] ,3,9.894,500.091,-30.833,38.228,505.096,61.206,

[2025-02-10 13:55:21] ,1,63.778,473.464,-9.713,53.563,505.869,48.621,

[2025-02-10 13:55:40] ,2,65.426,472.409,6.17,18.6,489.032,-119.745,

[2025-02-10 13:55:51] ,2,44.618,496.321,-128.501,-12.676,508.198,-15.03,

[2025-02-10 13:56:03] ,3,20.944,423.526,73.009,-0.022,457.58,-28.429,

[2025-02-10 13:56:16] ,3,31.515,469.509,-30.446,27.989,507.473,-0.382,

[2025-02-10 13:56:29] ,1,22.367,451.244,-76.209,35.817,497.464,-79.287,

[2025-02-10 13:56:41] ,2,73.203,479.593,29.745,23.508,491.984,-168.69,

[2025-02-10 13:56:54] ,3,-12.26,473.564,33.166,55.109,497.652,-70.962,

[2025-02-10 13:57:10] ,2,36.262,484.492,-140.389,6.371,490.732,-28.61,

[2025-02-10 13:57:20] ,3,10.518,413.785,72.051,64.898,485.789,3.053,

[2025-02-10 13:57:34] ,3,18.479,479.264,-63.265,83.617,505.43,7.028,

[2025-02-10 13:57:54] ,1,30.706,428.383,50.782,41.597,497.881,-32.005,

[2025-02-10 13:58:03] ,2,13.802,483.138,80.87,27.835,504.37,-125.538,

[2025-02-10 13:58:16] ,2,6.921,506.852,-65.934,57.728,516.93,82.235,

[2025-02-10 13:58:28] ,3,59.551,438.207,89.618,30.592,472.146,-71.086,

[2025-02-10 13:58:42] ,1,28.561,445.085,73.985,-11.725,462.632,-31.31,

[2025-02-10 13:58:52] ,1,5.251,490.666,4.594,72.514,509.98,40.601,

[2025-02-10 13:59:05] ,2,28.78,433.984,-160.278,40.339,456.748,-42.852,

[2025-02-10 13:59:17] ,3,56.592,445.345,54.728,56.102,470.416,31.682,

[2025-02-10 13:59:30] ,1,-7.205,451.765,-48.24,44.438,473.662,-79.875,

[2025-02-10 13:59:42] ,1,77.474,462.806,74.476,51.98,515.843,6.226,

[2025-02-10 13:59:53] ,2,77.229,398.549,123.69,69.057,484.137,-95.148,

[2025-02-10 14:00:05] ,3,4.53,498.935,87.346,68.746,506.484,-77.264,

[2025-02-10 14:00:19] ,2,42.15,434.152,-93.066,54.485,455.009,-6.062,

[2025-02-10 14:00:38] ,1,19.619,400.437,11.915,2.483,424.296,8.707,

[2025-02-10 14:00:47] ,1,23.705,435.764,13.912,54.966,438.062,76.209,

[2025-02-10 14:00:59] ,1,-6.438,460.581,-59.123,-3.882,510.499,-80.287,

[2025-02-10 14:01:12] ,3,80.453,470.893,22.797,3.033,478.143,-31.805,

[2025-02-10 14:01:26] ,1,67.535,491.061,28.856,28.846,496.268,1.521,

[2025-02-10 14:01:36] ,1,11.758,502.391,-76.088,27.214,515.477,-66.4,

[2025-02-10 14:01:50] ,1,39.503,419.209,54.758,61.147,501.477,57.45,

[2025-02-10 14:02:01] ,4,74.521,452.175,51.499,84.869,473.991,-54.462,

[2025-02-10 14:02:15] ,1,7.096,471.289,-21.146,-4.108,489.15,-8.707,

[2025-02-10 14:02:26] ,3,-2.504,496.4,-76.977,64.767,505.166,12.362,

[2025-02-10 14:02:46] ,2,42.033,491.523,132.479,18.169,505.43,-5.609,

[2025-02-10 14:02:56] ,3,55.276,484.075,-6.843,32.997,515.48,76.891,

[2025-02-10 14:03:09] ,1,-5.664,440.935,-69.974,-2.329,463.314,-24.986,

[2025-02-10 14:03:22] ,1,79.24,465.241,83.379,40.498,493.607,55.465,

[2025-02-10 14:03:36] ,1,73.335,403.337,-29.615,7.638,474.643,68.385,

[2025-02-10 14:03:47] ,1,67.058,485.479,70.589,-3.251,508.132,-19.895,

[2025-02-10 14:04:01] ,1,77.478,497.732,46.824,13.423,517.359,-0.516,

[2025-02-10 14:04:12] ,1,-2.545,417.892,-85.365,5.844,501.211,14.534,

[2025-02-10 14:04:33] ,1,20.815,474.993,78.983,41.387,503.129,64.12,

[2025-02-10 14:04:45] ,2,-11.794,490.888,-97.189,35.684,492.569,-118.61,

[2025-02-10 14:04:57] ,1,30.01,496.969,86.424,12.273,500.775,-52.927,

[2025-02-10 14:05:09] ,1,-3.478,440.371,41.091,26.416,505.892,75.593,

[2025-02-10 14:05:30] ,2,6.838,442.635,112.932,33.83,462.077,83.437,

[2025-02-10 14:05:40] ,2,16.286,463.743,-69.8,61.685,494.799,124.824,

[2025-02-10 14:05:53] ,2,66.151,465.95,158.671,-4.579,488.724,-93.039,

[2025-02-10 14:06:05] ,1,15.598,446.309,26.338,21.898,460.073,30.619,

[2025-02-10 14:06:15] ,1,14.02,482.784,62.987,22.086,498.028,-31.139,

[2025-02-10 14:06:30] ,3,57.395,492.746,44.185,40.888,503.632,37.942,

[2025-02-10 14:06:43] ,1,1.555,484.574,-81.87,52.508,511.23,7.125,

[2025-02-10 14:06:56] ,4,29.044,508.132,87.936,13.489,517.491,87.936,

[2025-02-10 14:07:17] ,4,77.092,450.527,72.86,17.971,506.673,-22.249,

